제목,저자,출판사,출판일,판매가,정가,판매지수,리뷰수,평점,판매가_num,정가_num,판매지수_num,출판월,할인율
올라마와 오픈소스 LLM을 활용한 AI 에이전트 개발 입문 로컬 LLM을 활용한 보안과 비용 걱정 없는 지능형 AI 에이전트 구축,"서영배,김병규,임재봉저",위키북스,2026년 01월,"25,200원","28,000원",,0,0.0,25200,28000,0,2026-01,10.0
"AI를 위한 필수 수학 AI 시스템에 쓰이는 통계학, 선형 대수학, 미적분학",할라 넬슨저/안민재역,한빛미디어,2024년 08월,"40,500원","45,000원","3,585",12,9.5,40500,45000,3585,2024-08,10.0
도메인 주도 설계를 위한 함수형 프로그래밍 코틀린과 타입스크립트로 구현하는 실전 도메인 모델링,스콧 블라신저/박주형편역,제이펍,2025년 11월,"28,800원","32,000원","1,791",4,10.0,28800,32000,1791,2025-11,10.0
C언어로 쉽게 풀어쓴 자료구조,"천인국,공용해,하상호저",생능출판사,2019년 02월,"29,000원","29,000원","9,390",39,9.5,29000,29000,9390,2019-02,0.0
모두의 딥러닝 누구나 쉽게 이해하는 딥러닝,조태호저,길벗,2025년 04월,"26,100원","29,000원","3,774",13,10.0,26100,29000,3774,2025-04,10.0
밑바닥부터 시작하는 딥러닝 3 파이썬으로 직접 구현하며 배우는 딥러닝 프레임워크,사이토 고키저/개앞맵시역,한빛미디어,2020년 11월,"34,200원","38,000원","3,282",31,9.7,34200,38000,3282,2020-11,10.0
"그림으로 이해하는 네트워크 구조와 기술 네트워크, 쉽고 재미있게 시작하자!",나카오 신지저/김성훈역,길벗,2023년 07월,"19,800원","22,000원","3,216",17,9.6,19800,22000,3216,2023-07,10.0
Do it! 플러터 앱 개발&출시하기 AI 시대에 통하는 ‘수익화 앱’을 만든다!,조준수저,이지스퍼블리싱,2025년 07월,"32,400원","36,000원","2,562",5,10.0,32400,36000,2562,2025-07,10.0
교실에서 바로 쓰는 챗GPT 교사 활용법 프롬프트 활용법/생성형AI 활용 수업/개념기반 수업/평가 루브릭 만들기/학교 업무 활용/수업자료 만들기,유수근저,앤써북,2025년 01월,"17,820원","19,800원","9,816",22,9.9,17820,19800,9816,2025-01,10.0
"나만의 MCP 서버 만들기 with 커서 AI 현직 AI Specialist에게 배우는 MCP! Cursor AI, Claude Desktop으로 MCP의 기본을 경험한다",서지영저,길벗,2025년 07월,"21,600원","24,000원","6,048",17,9.8,21600,24000,6048,2025-07,10.0
