제목,저자,출판사,출판일,판매가,정가,판매지수,리뷰수,평점,판매가_num,정가_num,판매지수_num,출판월,할인율
AI 영상 제작 속지 않을 자신 있나요? 숏폼부터 딥페이크까지,"민지영,문수민,전은재,앤미디어저",길벗,2024년 06월,"22,500원","25,000원","12,450",94,9.7,22500,25000,12450,2024-06,10.0
"Dify AI, 코드 없는 미래 클릭만으로 업무 프로세스 리빌드, 노코드 AI 자동화 실전 가이드",김정욱저,한빛미디어,2025년 12월,"23,400원","26,000원","3,129",127,9.9,23400,26000,3129,2025-12,10.0
"어쨌든, 바이브 코딩 코딩을 몰라도 50개 앱과 웹사이트를 AI와 LLM을 활용해서 개발한다",코다프레스저/양희은역,인사이트(insight),2025년 12월,"19,800원","22,000원","1,821",4,10.0,19800,22000,1821,2025-12,10.0
혼자 공부하는 SQL 1:1 과외하듯 배우는 데이터베이스 자습서,우재남저,한빛미디어,2021년 11월,"21,600원","24,000원","5,988",52,9.7,21600,24000,5988,2021-11,10.0
실무에 바로 쓰는 일잘러의 챗GPT 프롬프트 74가지,이석현저,제이펍,2025년 10월,"19,800원","22,000원","3,561",49,10.0,19800,22000,3561,2025-10,10.0
AI를 움직이는 수학 이야기 실생활 예제로 배우는 기술 속 수학의 비밀,후루시마 도오루저/하승민역,한빛미디어,2025년 12월,"29,700원","33,000원","1,212",1,10.0,29700,33000,1212,2025-12,10.0
"현직 교사가 만든 업무자동화를 원하는 교사를 위한 찐 실전 챗GPT GPTs·미조우·제미나이 - 챗봇 만들기 생성형 AI 챗봇으로 수업 업무 박살 내기! 탐구 질문 생성, 생활기록부 작성(행발, 교과 세특), 갈등 해결 챌린지, 학생 질문 평가, 진로 연계 학생 활동, 학급 경영(좌석 배치)","김요섭,허영주,조래정,정재우저",광문각출판미디어,2025년 04월,"15,000원","15,000원","6,057",36,9.9,15000,15000,6057,2025-04,0.0
주니어 백엔드 개발자가 반드시 알아야 할 실무 지식 시행착오를 줄여주는 실무 밀착 백엔드 개발 가이드,최범균저,한빛미디어,2025년 04월,"25,200원","28,000원","10,362",25,9.8,25200,28000,10362,2025-04,10.0
밑바닥부터 시작하는 딥러닝 2 파이썬으로 직접 구현하며 배우는 순환 신경망과 자연어 처리,사이토 고키저/개앞맵시역,한빛미디어,2019년 05월,"26,100원","29,000원","5,433",45,9.9,26100,29000,5433,2019-05,10.0
코딩 자율학습 리액트 프런트엔드 개발 입문 리액트 19와 타입스크립트로 배우는 실무 중심 프런트엔드 개발 자습서,김기수저,길벗,2025년 09월,"37,800원","42,000원","2,754",19,9.9,37800,42000,2754,2025-09,10.0
"된다! 하루 만에 만드는 AI 사진 & 이미지 챗GPT부터 미드저니까지 다 통한다! 광고 사진, 카드 뉴스, 섬네일, AI 인물 모델 등 인스타그램, 유튜브, 블로그 어디든 활용 가능!",김원석저,이지스퍼블리싱,2025년 08월,"16,020원","17,800원","4,296",40,10.0,16020,17800,4296,2025-08,10.0
"LLM을 활용한 실전 AI 애플리케이션 개발 LLM의 기본부터 모델 학습, 임베딩, 벡터 데이터베이스로 만드는 RAG까지",허정준저/정진호그림/박재호감수,책만,2024년 07월,"28,800원","32,000원","12,501",29,9.4,28800,32000,12501,2024-07,10.0
"콘텐츠 디자인은 피그마 with AI 마케팅, 기획을 위한 올인원 디자인 플랫폼! 기초 사용법, 플러그인, 인공지능 기능부터 배너, 카드 뉴스 템플릿, 상세페이지 자동화까지",김선영저,골든래빗,2025년 08월,"23,400원","26,000원","5,532",8,10.0,23400,26000,5532,2025-08,10.0
AI 프로토타이핑 실전 기획 아이디어를 빠르게 실현하는,김성박저,루비페이퍼,2025년 12월,"25,200원","28,000원","1,542",4,10.0,25200,28000,1542,2025-12,10.0
10일 만에 익히는 파이토치 딥러닝,한기영저,인사이트(insight),2025년 12월,"24,300원","27,000원","1,014",1,10.0,24300,27000,1014,2025-12,10.0
선생님을 위한 8282 업무 자동화 with AI+파이썬+노코드 학교 수업·행정 자동화의 모든 것! 선생님을 위한 72가지 업무 혁신 가이드,"강우혁,김송희,서승희,송석리,한솔저 외 2명정보 더 보기/감추기강우혁김송희서승희송석리한솔한준구황수빈",골든래빗,2025년 04월,"25,200원","28,000원","6,579",6,10.0,25200,28000,6579,2025-04,10.0
LUVIT♥ 파이썬으로 만드는 초경량 한국어 LLM 챗봇 구글 코랩으로 실습하는 데이터 분석 + 챗봇 + LLM,"김규석,서예진,정태양저",제이펍,2026년 01월,"25,200원","28,000원",,0,0.0,25200,28000,0,2026-01,10.0
소프트웨어 아키텍처 The Basics 모던 엔지니어링을 위한 소프트웨어 아키텍처의 모든 것,"마크 리처즈,닐 포드저/류광,307번역랩역",한빛미디어,2025년 11월,"38,700원","43,000원","1,776",13,9.8,38700,43000,1776,2025-11,10.0
